exp_name,dataset,alpha,lambda_scale,epoch,nfe,fid,status
fteqm_0.60,cifar10,0.6,auto,499,20,10.318747520446777,completed
fteqm_0.60,cifar10,0.6,auto,499,50,8.166214942932129,completed
fteqm_0.60,cifar10,0.6,auto,499,100,7.722904682159424,completed
fteqm_0.60,cifar10,0.6,auto,599,4,33.71782684326172,completed
fteqm_0.60,cifar10,0.6,auto,599,10,13.11080551147461,completed
fteqm_0.60,cifar10,0.6,auto,599,20,8.436638832092285,completed
fteqm_0.60,cifar10,0.6,auto,599,50,6.861460208892822,completed
fteqm_0.60,cifar10,0.6,auto,599,100,6.51084041595459,completed
fteqm_0.60,cifar10,0.6,auto,699,4,34.74628448486328,completed
fteqm_0.60,cifar10,0.6,auto,699,10,10.8239164352417,completed
fteqm_0.60,cifar10,0.6,auto,699,20,6.254080772399902,completed
fteqm_0.60,cifar10,0.6,auto,699,50,4.974499225616455,completed
fteqm_0.60,cifar10,0.6,auto,699,100,4.788666248321533,completed
fteqm_0.60,cifar10,0.6,auto,799,4,30.02758026123047,completed
fteqm_0.60,cifar10,0.6,auto,799,10,9.014336585998535,completed
fteqm_0.60,cifar10,0.6,auto,799,20,5.502964973449707,completed
fteqm_0.60,cifar10,0.6,auto,799,50,4.561587333679199,completed
fteqm_0.60,cifar10,0.6,auto,799,100,4.415587425231934,completed
fteqm_0.60,cifar10,0.6,auto,899,4,22.95451545715332,completed
fteqm_0.60,cifar10,0.6,auto,899,10,9.305658340454102,completed
fteqm_0.60,cifar10,0.6,auto,899,20,6.8795294761657715,completed
fteqm_0.60,cifar10,0.6,auto,899,50,6.291592597961426,completed
fteqm_0.60,cifar10,0.6,auto,899,100,6.251605987548828,completed
fteqm_0.70,cifar10,0.7,auto,99,4,136.46310424804688,completed
fteqm_0.70,cifar10,0.7,auto,99,10,26.844120025634766,completed
fteqm_0.70,cifar10,0.7,auto,99,20,15.79832649230957,completed
fteqm_0.70,cifar10,0.7,auto,99,50,13.85395622253418,completed
fteqm_0.70,cifar10,0.7,auto,99,100,13.94664478302002,completed
fteqm_0.70,cifar10,0.7,auto,199,4,141.41146850585938,completed
fteqm_0.70,cifar10,0.7,auto,199,10,25.628196716308594,completed
fteqm_0.70,cifar10,0.7,auto,199,20,11.967535972595215,completed
fteqm_0.70,cifar10,0.7,auto,199,50,7.608639717102051,completed
fteqm_0.70,cifar10,0.7,auto,199,100,7.453732490539551,completed
fteqm_0.70,cifar10,0.7,auto,299,4,145.10731506347656,completed
fteqm_0.70,cifar10,0.7,auto,299,10,23.780385971069336,completed
fteqm_0.70,cifar10,0.7,auto,299,20,12.108381271362305,completed
fteqm_0.70,cifar10,0.7,auto,299,50,6.8397297859191895,completed
fteqm_0.70,cifar10,0.7,auto,299,100,6.702406406402588,completed
fteqm_0.70,cifar10,0.7,auto,399,4,162.134033203125,completed
fteqm_0.70,cifar10,0.7,auto,399,10,22.005613327026367,completed
fteqm_0.70,cifar10,0.7,auto,399,20,13.562461853027344,completed
fteqm_0.70,cifar10,0.7,auto,399,50,7.937230110168457,completed
fteqm_0.70,cifar10,0.7,auto,399,100,7.685715675354004,completed
fteqm_0.70,cifar10,0.7,auto,499,4,156.77059936523438,completed
fteqm_0.70,cifar10,0.7,auto,499,10,15.817596435546875,completed
fteqm_0.70,cifar10,0.7,auto,499,20,7.881014823913574,completed
fteqm_0.70,cifar10,0.7,auto,499,50,7.064763069152832,completed
fteqm_0.70,cifar10,0.7,auto,499,100,7.280972480773926,completed
fteqm_0.70,cifar10,0.7,auto,599,4,154.93521118164062,completed
